key,value,comment
modernize_names,1,Осовременивать имена и отчества — включается пользователем
keep_original_names,1,Хранить оба варианта написания: как в книге и современный
autoextend_lookups,1,Пополнять справочники значениями, введёнными вручную
age_parents_min,17,Нижняя граница возраста родителей для прогноза года рождения
age_parents_max,55,Верхняя граница возраста родителей
age_godparents_min,6,Нижняя граница возраста восприемников
age_godparents_max,60,Верхняя граница возраста восприемников
age_witnesses_min,17,Нижняя граница возраста поручителей
age_witnesses_max,60,Верхняя граница возраста поручителей
ui_font_scale,1.15,Масштаб шрифта интерфейса
ui_always_on_top,0,Держать окно поверх других окон
backup_keep_copies,10,Сколько резервных копий базы хранить
